PLAYER_ID,n,compliance_n,compliance_rate
s01p0682t3,2,2,1
s01p1356t3,4,2,0.5
s01p1958t3,4,3,0.75
s01p2343t3,4,2,0.5
s01p2542t3,5,3,0.6
s01p2560t3,4,2,0.5
s01p3791t3,4,3,0.75
s01p3827t3,5,3,0.6
s01p3953t3,2,0,0
s01p3962t3,4,1,0.25
s01p5473t3,4,4,1
s01p5634t3,3,1,0.3333333333333333
s01p5930t3,3,0,0
s01p5956t3,3,2,0.6666666666666666
s01p6297t3,5,3,0.6
s01p7566t3,3,1,0.3333333333333333
s01p7898t3,4,1,0.25
s01p8128t3,1,1,1
s01p8234t3,4,3,0.75
s01p9172t3,1,1,1
s01p9248t3,7,4,0.5714285714285714
s01p9280t3,3,1,0.3333333333333333
s01p9707t3,2,1,0.5
s02p1756t3,2,1,0.5
s02p1840t3,5,3,0.6
s02p2322t3,2,0,0
s02p2741t3,2,2,1
s02p2926t3,4,4,1
s02p3131t3,3,3,1
s02p3884t3,4,1,0.25
s02p3944t3,2,1,0.5
s02p4500t3,4,3,0.75
s02p4504t3,2,0,0
s02p4512t3,3,2,0.6666666666666666
s02p4678t3,4,2,0.5
s02p4689t3,3,1,0.3333333333333333
s02p5097t3,4,2,0.5
s02p5140t3,6,6,1
s02p5852t3,3,0,0
s02p7134t3,4,2,0.5
s02p7657t3,5,3,0.6
s02p8378t3,4,3,0.75
s02p9107t3,5,2,0.4
s02p9190t3,3,1,0.3333333333333333
s03p0401t3,4,3,0.75
s03p0852t3,2,1,0.5
s03p1700t3,2,1,0.5
s03p2347t3,4,2,0.5
s03p2822t3,4,1,0.25
s03p2956t3,3,1,0.3333333333333333
s03p3124t3,3,2,0.6666666666666666
s03p3138t3,2,1,0.5
s03p3316t3,4,3,0.75
s03p4615t3,4,1,0.25
s03p4823t3,4,3,0.75
s03p5660t3,3,1,0.3333333333333333
s03p6382t3,3,2,0.6666666666666666
s03p6798t3,3,2,0.6666666666666666
s03p7377t3,4,3,0.75
s03p8004t3,1,0,0
s03p8216t3,4,2,0.5
s03p8488t3,4,2,0.5
s03p8938t3,4,2,0.5
s03p9114t3,3,2,0.6666666666666666
s03p9491t3,4,2,0.5
s03p9648t3,4,3,0.75
s03p9744t3,3,1,0.3333333333333333
s03p9874t3,3,2,0.6666666666666666
s04p0170t3,4,3,0.75
s04p0285t3,4,4,1
s04p0586t3,4,2,0.5
s04p0818t3,2,0,0
s04p0864t3,3,2,0.6666666666666666
s04p1074t3,4,4,1
s04p1503t3,3,2,0.6666666666666666
s04p1522t3,5,4,0.8
s04p1666t3,3,3,1
s04p2207t3,4,4,1
s04p2318t3,5,2,0.4
s04p4100t3,6,6,1
s04p5086t3,3,2,0.6666666666666666
s04p5430t3,5,2,0.4
s04p6627t3,4,3,0.75
s04p7697t3,3,2,0.6666666666666666
s04p7812t3,4,1,0.25
s04p7919t3,5,4,0.8
s04p8801t3,3,1,0.3333333333333333
s04p9135t3,4,2,0.5
s04p9266t3,4,4,1
